id,Beam/Column,Wall,Floor,Cladding,Wall Insulation,Roof Insulation,Roof Membrane,IGU,Window Frame,WWR,Floor to Floor Height,Parking Levels,SCM,GWP
208401,Glulam,CLT,Wood I Joist,EIFS,EIFS,Mineral Wool,PVC,Triple Glazed,Fiberglass,25,3,0,0,113.6
191367,Glulam,Wood Stud OVE,CLT,PVC,Fiberglass,XPS,EPDM,Triple Glazed,PVC,25,3,0,0,123.3
6935,Load Bearing Wood Wall,Wood Stud,Wood Joist,EIFS,EIFS,XPS,PVC,Double Glazed,Wood,25,3,0,30,92.6
216864,Glulam,ICF,Wood Joist,Brick,Mineral Wool,Polyiso,PVC,Double Glazed,Aluminum,10,3,0,0,253.4
211387,Glulam,CLT,CLT,Brick,Mineral Wool,Mineral Wool,EPDM,Triple Glazed,Wood,10,3,0,20,160.5
92568,Glulam,Steel Stud,Wood Joist,PVC,Fiberglass,Polyiso,EPDM,Triple Glazed,Aluminum,10,3,0,0,103.6
200797,Glulam,CLT,Wood Joist,Metal,Mineral Wool,Polyiso,Mod Bit,Double Glazed,PVC,10,3,0,20,148.3
38378,Load Bearing Wood Wall,CLT,Wood Joist,EIFS,EIFS,Polyiso,Mod Bit,Triple Glazed,Aluminum,10,3,0,30,108.4
91513,Glulam,Steel Stud,Wood Joist,PVC,XPS,Mineral Wool,Mod Bit,Triple Glazed,Aluminum,10,3,0,20,126.0
203561,Glulam,CLT,Wood Joist,Fiberboard,XPS,EPS,Mod Bit,Triple Glazed,PVC,25,3,0,30,127.4
248507,Glulam,ICF,CLT,Fiberboard,XPS,EPS,EPDM,Double Glazed,Fiberglass,25,3,0,30,232.1
46932,Load Bearing Wood Wall,CLT,CLT,Brick,Mineral Wool,EPS,EPDM,Triple Glazed,PVC,10,3,0,0,165.2
246440,Glulam,ICF,CLT,EIFS,EIFS,Mineral Wool,Mod Bit,Double Glazed,Fiberglass,10,3,0,30,238.5
197602,Glulam,Wood Stud OVE,CLT,Fiberboard,Spray Foam,XPS,PVC,Triple Glazed,Fiberglass,25,3,0,20,202.0
200584,Glulam,CLT,Wood Joist,Metal,Mineral Wool,XPS,EPDM,Triple Glazed,PVC,25,3,0,20,152.9
1986,Load Bearing Wood Wall,Wood Stud,Wood Joist,Brick,Spray Foam,EPS,EPDM,Double Glazed,Wood,10,3,0,0,199.9
132802,Glulam,Wood Stud,Wood I Joist,Brick,XPS,Polyiso,PVC,Triple Glazed,Fiberglass,25,3,0,20,131.2
11588,Load Bearing Wood Wall,Wood Stud,Wood I Joist,Brick,XPS,XPS,Mod Bit,Double Glazed,Wood,10,3,0,30,133.8
45788,Load Bearing Wood Wall,CLT,Wood I Joist,Fiberboard,Mineral Wool,EPS,EPDM,Triple Glazed,Wood,10,3,0,30,108.1
228461,Glulam,ICF,Wood I Joist,Brick,Mineral Wool,Polyiso,Mod Bit,Triple Glazed,Aluminum,25,3,0,30,225.4
183191,Glulam,Wood Stud OVE,Wood I Joist,Fiberboard,Spray Foam,XPS,PVC,Double Glazed,Wood,25,3,0,30,165.6
116045,Glulam,Steel Stud,CLT,PVC,Spray Foam,EPS,EPDM,Triple Glazed,Aluminum,25,3,0,30,215.4
95126,Glulam,Steel Stud,Wood Joist,EIFS,EIFS,XPS,Mod Bit,Triple Glazed,PVC,10,3,0,30,120.5
30124,Load Bearing Wood Wall,Wood Stud,CLT,EIFS,EIFS,EPS,PVC,Triple Glazed,Aluminum,25,3,0,20,129.1
